50088 3
1.72894450 -5.87835950 0.67756389
-6.94720805 -17.53168782 10.40419830
9.06352479 -4.68239892 2.50000000
-8.97635041 -10.53417379 5.53871932
11.76346217 -3.26831909 4.21140384
-2.04991750 -7.43076415 2.50322454
-7.72915031 -14.17574375 7.77991691
4.65324028 -10.10768802 3.12008835
6.77033693 -8.67207593 3.23354789
6.87900466 -5.69674226 2.14599907
-5.56558484 13.61599739 5.96008714
-1.57798002 -1.55025342 -0.33344184
-13.79201700 7.85544479 6.86430172
3.94595092 7.53643703 1.17913681
-4.33136498 -7.89501922 3.41957558
-10.03198393 3.23626576 3.54213459
-0.86309478 -6.81549894 1.72551927
-13.53333755 7.31313385 6.35257656
-12.71373809 8.81354762 6.31608858
-10.40552138 -10.25094031 5.91096467
14.19302823 -0.66402649 5.50689971
-3.30450438 6.32400726 2.32064886
14.87053753 2.92735832 6.76309609
-8.76722107 2.89809646 2.70079747
5.63758227 -0.42766658 1.72254813
9.72568929 0.11237731 2.15806281
18.61548879 4.14005493 10.83215177
6.87621966 -9.67104138 3.93946922
17.49541850 2.16808878 9.74784279
3.61306719 1.16954641 1.31818939
13.63260670 -1.37898630 5.00391632
7.09177998 -5.57117925 2.25644819
-2.39104120 5.51787759 1.57051607
-5.09619415 10.53084002 4.53407798
7.95553025 7.48864497 3.62128340
-4.76663156 -16.31797633 7.75375225
11.21636987 -5.39689729 5.18858536
-11.56987737 -12.28924426 8.74781925
3.52629693 -5.31852230 0.70010170
-12.62687957 6.94406814 5.34823885
4.31993997 2.61063938 1.26067005
-11.26359615 6.81579907 4.30422960
-12.25066858 -9.20032341 6.19839144
6.31180820 -5.46436193 1.75720809
-9.96923026 -0.85033118 3.70906616
-0.78911369 -12.41125938 4.56242425
-5.10320446 8.25591053 3.70593619
2.82085792 -10.98113908 3.57206175
17.45295578 -0.06725488 9.78075754
7.89765038 -6.66490357 3.21934252
0.28485816 -2.38127831 0.23845200
-3.09916574 13.65297801 5.23647924
-8.10673241 -0.41639681 2.07630633
4.44949693 -8.85664172 2.04653240
-9.69255200 5.03003470 3.29090076
-2.69964157 11.59134762 4.31624932
-3.06831355 -9.27576466 3.65701071
7.70832060 5.22732262 2.57335248
1.29051140 -3.28421193 0.49905628
-8.51480079 -17.71165567 11.76788220
-9.87710947 -11.73405250 7.04377547
2.19656551 3.17327401 0.67544026
0.42773361 15.21272726 7.11523102
-11.57776652 4.23143748 4.43741541
-2.69677725 -8.22217237 3.11811016
4.55386702 -4.85860780 0.97761752
6.57539184 -7.81701647 2.64086930
0.36591619 -0.91470701 0.16530824
-1.14488107 7.59869617 2.21133751
-11.02172939 10.44128479 6.42774089
2.48028341 -2.28649718 0.85216910
-4.62899936 -10.44944661 4.40645260
14.85395375 -2.01696182 6.50948231
-4.07122758 2.00736369 -0.07530293
11.30622711 -4.96609662 4.97130573
0.00527707 3.35944609 0.33905227
-0.88338409 13.54824026 5.30530359
7.47834019 -6.12113756 2.68666722
-0.80564311 -12.33914308 4.51698046
-2.71742200 -9.41406253 3.59865107
-0.24566362 8.49905147 2.26368634
-8.10994252 13.79575461 7.75655793
4.41368037 -1.39713098 1.47482484
-9.12039976 -12.42106513 7.24680738
-0.30170737 10.49928859 3.36883511
0.76508616 8.65012659 1.97617021
-6.83311271 -7.80617898 3.62585650
-11.08500251 12.01361004 8.10546652
-8.12703411 13.33679947 7.38110885
9.11091610 -8.16544308 4.96862080
8.61620361 -4.75488253 2.50000000
-6.13063794 11.51828556 5.17437609
12.50693359 -0.99525305 3.83921089
-10.95080004 -17.58421487 13.56513294
-4.07036887 6.39886073 2.55936458
-3.87848945 2.29852698 0.00360247
-13.02881366 9.57000006 7.16089204
-12.13504870 1.58396315 5.29089102
18.43325025 0.08158304 11.07994903
8.03835956 7.32645355 3.62081437
-7.70935454 -8.01986519 3.77026289
-6.27256215 9.18799928 4.22195639
12.57482641 -4.93351675 5.84620797
12.68781326 -2.92470820 4.72117096
0.78519612 5.19650137 0.67837964
-2.23516425 -0.22403667 -0.62511136
-3.17189702 7.83604255 3.09864260
-1.05288796 14.09485138 5.66657848
-7.52053667 -11.60579209 5.74689722
14.73410110 -2.07411079 6.38547464
-2.70456230 -10.48618739 3.95529839
1.27320098 -10.97777424 3.51001848
-0.39060322 2.31156854 0.07118200
-11.37047993 -7.45274837 4.57106681
3.26757996 -8.35539521 1.46862847
18.13289884 1.01678427 10.65265907
-2.18979577 0.49323111 -0.60207627
-2.39783336 3.84408126 0.58865091
-11.31067377 2.50985749 4.55442838
3.76046308 -0.23309993 1.41931078
6.26403037 -5.32828883 1.71309404
12.87141777 5.81473070 6.60572509
-2.37289628 10.05651227 3.72024434
-8.50609428 -3.74104703 2.60963625
-5.53306764 8.13185950 3.69796036
-0.19259465 1.94305509 0.05951342
-1.89404715 -7.09519021 2.27365704
3.40831901 7.89550642 1.24024934
4.65018604 7.67682042 1.46068955
-5.35028930 12.74843136 5.41657370
3.75840373 2.56347834 1.13849588
-7.90438098 1.76476283 1.98314981
-2.55675189 7.60853656 2.78221246
-12.18589434 3.68099396 4.95832636
-2.51334444 -2.80700290 0.06014985
-4.45323554 0.09489030 -0.38201333
-8.47956090 -10.43019743 5.29337861
12.65039516 3.75844242 5.16141630
-5.13914267 -0.55425885 -0.06154551
3.14936350 9.33213973 2.11982352
-7.06081891 -0.80178529 1.21887854
7.77595242 -8.45348064 3.92748948
-0.98529250 -0.05040709 -0.35471472
-9.54551196 -3.45271478 3.20921803
9.23041174 1.98957931 2.30870720
0.42700004 -3.92071905 0.46705741
-4.64332586 12.22699045 4.96156611
-2.45770576 -6.89753982 2.38053754
-7.03265538 3.10558981 1.66897414
14.91098569 4.63613410 7.40265310
2.23363378 10.35459729 2.94534004
-4.40153239 4.58708402 1.46873735
6.72014418 2.65129711 1.77969037
-5.94965237 4.49145022 1.82165447
-2.68423264 0.74278107 -0.60775156
